feature_set,features,solver,C,accuracy,weighted_f1,stress_f1,precision_1,recall_1,roc_auc,tn,fp,fn,tp,subject_acc_mean,subject_acc_std,subject_f1_mean,subject_f1_std,subject_auc_mean,subject_auc_std
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",lbfgs,1.0,0.7662721893491125,0.7771164742974007,0.6108374384236454,0.5254237288135594,0.7294117647058823,0.8267431346715234,591,168,69,186,0.7621353104810186,0.09413295725772389,0.5840902800762653,0.21731235446954536,0.8255627977231474,0.11399418854163063
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",lbfgs,1.0,0.7662721893491125,0.7771164742974007,0.6108374384236454,0.5254237288135594,0.7294117647058823,0.8267431346715234,591,168,69,186,0.7621353104810186,0.09413295725772389,0.5840902800762653,0.21731235446954536,0.8255627977231474,0.11399418854163063
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",lbfgs,1.0,0.7662721893491125,0.7771164742974007,0.6108374384236454,0.5254237288135594,0.7294117647058823,0.8267431346715234,591,168,69,186,0.7621353104810186,0.09413295725772389,0.5840902800762653,0.21731235446954536,0.8255627977231474,0.11399418854163063
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",liblinear,1.0,0.7642998027613412,0.7753807096451419,0.6088379705400983,0.5224719101123596,0.7294117647058823,0.826706967371929,589,170,69,186,0.759595627941336,0.09619107506806433,0.5820807806243106,0.2186341163752769,0.8253341940673431,0.11409434813909124
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",liblinear,1.0,0.7642998027613412,0.7753807096451419,0.6088379705400983,0.5224719101123596,0.7294117647058823,0.826706967371929,589,170,69,186,0.759595627941336,0.09619107506806433,0.5820807806243106,0.2186341163752769,0.8253341940673431,0.11409434813909124
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",liblinear,1.0,0.7642998027613412,0.7753807096451419,0.6088379705400983,0.5224719101123596,0.7294117647058823,0.826706967371929,589,170,69,186,0.759595627941336,0.09619107506806433,0.5820807806243106,0.2186341163752769,0.8253341940673431,0.11409434813909124
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",lbfgs,0.01,0.7642998027613412,0.7747844190239501,0.603648424543947,0.5229885057471264,0.7137254901960784,0.8292128445581132,593,166,73,182,0.7602335422695269,0.09988371471064778,0.5684702150959979,0.24696824206339696,0.8323861482491256,0.11448220511110793
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",lbfgs,0.01,0.7642998027613412,0.7747844190239501,0.603648424543947,0.5229885057471264,0.7137254901960784,0.8292128445581132,593,166,73,182,0.7602335422695269,0.09988371471064778,0.5684702150959979,0.24696824206339696,0.8323861482491256,0.11448220511110793
full12_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LF_power_log, HF_power_log, LFHF_log, motion_z",lbfgs,0.01,0.7642998027613412,0.7747844190239501,0.603648424543947,0.5229885057471264,0.7137254901960784,0.8292128445581132,593,166,73,182,0.7602335422695269,0.09988371471064778,0.5684702150959979,0.24696824206339696,0.8323861482491256,0.11448220511110793
robust9_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, motion_z",liblinear,0.1,0.7613412228796844,0.7724880870796206,0.6032786885245902,0.5183098591549296,0.7215686274509804,0.8267948022423726,588,171,71,184,0.7570951999425881,0.09396481002225159,0.5742527395973152,0.22133348806002937,0.8282304650879272,0.11388877065692754
freq10_z,"MeanNN_z, MedianNN_z, SDNN_z, RMSSD_z, IQRNN_z, MADNN_z, MeanHR_z, StdHR_z, LFHF_log, motion_z",liblinear,0.1,0.7613412228796844,0.7724880870796206,0.6032786885245902,0.5183098591549296,0.7215686274509804,0.8267948022423726,588,171,71,184,0.7570951999425881,0.09396481002225159,0.5742527395973152,0.22133348806002937,0.8282304650879272,0.11388877065692754
